,Unnamed: 0,PID,GENDER,TITLE,CATEGORY,TAG,LINK,file_loc
0,0,Men-ame001,Men,와이드한 매력,americancasual,"['봄', '아메리칸 캐주얼', '가든익스프레스', '갤럭시', '기타 상의', '무신사 스탠다드', '반다나/헤어밴드/거트', '반소매 티셔츠', '베스트', '블로퍼', '비니', '비에스큐티바이클래시', '셔츠/블라우스', '스카프/반다나', '예일', '유니폼브릿지', '캔버스/단화', '쿼츠 아날로그', '트레이닝/조거 팬츠', '피지컬 에듀케이션 디파트먼트', '하바행크', '뉴트럴톤', '레이어드룩', '컬러블록', '카고', '와이드핏', '페이즐리', '아메카지']",https://image.msscdn.net/images/style/list/l_3_2023021515390100000064481.jpg,fashion_dataset/americancasual/americancasual_Men_001.jpg
1,1,Men-ame002,Men,시티보이 룩,americancasual,"['봄', '아메리칸 캐주얼', '갤럭시', '데님 팬츠', '로맨틱크라운', '블루종/MA-1', '샌들', '셔츠/블라우스', '수아레', '에스피오나지', '카네라', '캡/야구 모자', '커버낫', '코렉트', '쿼츠 아날로그', '토트백', '시티보이룩', '뉴트럴톤', '와이드핏', '아메카지', '스티치']",https://image.msscdn.net/images/style/list/l_3_2023021515180700000080930.jpg,fashion_dataset/americancasual/americancasual_Men_002.jpg
2,2,Men-ame003,Men,빈티지한 색감,americancasual,"['봄', '아메리칸 캐주얼', '논픽', '부츠', '블런드스톤', '블루멀', '셔츠/블라우스', '스튜디오 칸틴', '안경', '와이케이', '웨이스트 백', '카디건', '코렉트', '클립스 어반', '트레이닝/조거 팬츠', '팔찌', '체크', '카고', '뉴트럴톤']",https://image.msscdn.net/images/style/list/l_3_2023021515121100000077499.jpg,fashion_dataset/americancasual/americancasual_Men_003.jpg
3,3,Men-ame004,Men,강렬한 색감,americancasual,"['겨울', '아메리칸 캐주얼', '레더', '스웨이드', '컬러포인트', '비비드', '아메카지', '레터링', '2113 스튜디오', '구두', '니즈', '로퍼', '비에스큐티바이클래시', '셔츠/블라우스', '앤드로스', '캡/야구 모자', '코튼 팬츠', '큐티에잇', '환절기 코트']",https://image.msscdn.net/images/style/list/l_3_2023021416455600000087752.jpg,fashion_dataset/americancasual/americancasual_Men_004.jpg
4,4,Men-ame005,Men,빈티지 무드,americancasual,"['봄', '아메리칸 캐주얼', '더블유엠씨', '디미토', '디미트리블랙', '메신저/크로스 백', '미디스커트', '보이런던와치', '볼캡', '부츠', '블로퍼', '비디알', '앤드로스', '야세', '카디건', '캡/야구 모자', '코튼 팬츠', '쿼츠 아날로그', '아메카지', '빈티지', '아가일', '뉴트럴톤', '카고', '모헤어카디건']",https://image.msscdn.net/images/style/list/l_3_2023020915365400000098926.jpg,fashion_dataset/americancasual/americancasual_Men_005.jpg
5,5,Men-ame006,Men,아메리칸 캐주얼,americancasual,"['겨울', '아메리칸 캐주얼', '논픽', '니트/스웨터', '닥터마틴', '데님 팬츠', '디미트리블랙', '베스트', '부츠', '블로퍼', '슈트/블레이저 재킷', '안경', '오더아카이브', '캉골', '코렉트', '토트백', '아메카지', '셋업코디', '코듀로이', '워싱', '와이드핏', '레이어드룩']",https://image.msscdn.net/images/style/list/l_3_2023020913434100000078677.jpg,fashion_dataset/americancasual/americancasual_Men_006.jpg
6,6,Men-ame007,Men,와이드한 매력,americancasual,"['겨울', '아메리칸 캐주얼', '겨울 싱글 코트', '구두', '니트/스웨터', '데님 팬츠', '비디알', '선데이오프클럽', '슈페너', '아퐁', '엑스트라오디너리', '캡/야구 모자', '토트백', '코렉트', '시티보이', '와이드핏', '워싱', '컬러포인트', '올블랙', '자수']",https://image.msscdn.net/images/style/list/l_3_2023020216071600000006647.jpg,fashion_dataset/americancasual/americancasual_Men_007.jpg
7,7,Men-ame008,Men,시티보이 연출,americancasual,"['겨울', '아메리칸 캐주얼', '로스트가든', '맨투맨/스웨트셔츠', '목걸이/펜던트', '부츠', '슬로우애시드', '이티씨이', '인더스트', '코튼 팬츠', '쿠나썬', '하프크라이즈 레이아웃', '헌팅캡/베레모', '헤어리가디건', '컬러포인트', '와이드핏', '자수', '남친룩', '시티보이']",https://image.msscdn.net/images/style/list/l_3_2023020215490800000032480.jpg,fashion_dataset/americancasual/americancasual_Men_008.jpg
8,8,Men-ame009,Men,프레피 룩 연출,americancasual,"['겨울', '아메리칸 캐주얼', '겨울 기타 코트', '기타 바지', '넥타이', '레씨토', '베스트', '셔츠/블라우스', '솔리버티', '스콜피온', '캔버스/단화', '쿼츠 아날로그', '폴로 랄프 로렌', '더플코트', '프레피룩', '와이드핏', '핀턱', '와펜']",https://image.msscdn.net/images/style/list/l_3_2023013010560700000068688.jpg,fashion_dataset/americancasual/americancasual_Men_009.jpg
9,9,Men-ame010,Men,스타일리시해!,americancasual,"['겨울', '아메리칸 캐주얼', '아메카지', '플리스', '코듀로이', '그라데이션', '오버핏', '데님 팬츠', '드로우핏', '로우로우', '리끌로우', '부츠', '셔츠/블라우스', '안경', '엠엠아이씨', '쿠어', '토트백', '팀버랜드', '플리스/뽀글이']",https://image.msscdn.net/images/style/list/l_3_2023011916231300000079055.jpg,fashion_dataset/americancasual/americancasual_Men_010.jpg
